,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Health Expenditure Australia 2022–23 - Datacube,,,,,,,,,
,,,,,,,,,
Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($),Current per person ($),Constant per person ($)
2017-18,SA,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"11,56,02,144","14,04,91,445",67,81
2017-18,SA,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"2,09,119","2,38,791",0,0
2017-18,SA,Primary health care,Community health and other,Australian Government,DoHAC and other,"7,14,27,170","8,14,22,276",41,47
2017-18,SA,Primary health care,Community health and other,Australian Government,Premium rebates,"10,181","11,626",0,0
2017-18,SA,Primary health care,Community health and other,Non-government,Health Insurance Funds,"28,775","32,858",0,0
2017-18,SA,Primary health care,Community health and other,Non-government,Individuals,"1,80,64,192","2,06,27,332",10,12
2017-18,SA,Primary health care,Community health and other,Non-government,Other sources of fund,"3,64,59,895","4,16,33,212",21,24
2017-18,SA,Primary health care,Community health and other,State and local government,State and local government,"70,71,44,341","80,74,81,495",407,465
2017-18,SA,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"67,46,389","73,76,481",4,4
2017-18,SA,Primary health care,Dental services,Australian Government,DoHAC and other,"3,88,78,056","4,25,09,143",22,24
2017-18,SA,Primary health care,Dental services,Australian Government,Premium rebates,"6,11,62,446","6,68,74,829",35,39
2017-18,SA,Primary health care,Dental services,Non-government,Health Insurance Funds,"17,28,61,445","18,90,06,168",100,109
2017-18,SA,Primary health care,Dental services,Non-government,Individuals,"17,05,96,562","18,65,29,752",98,107
2017-18,SA,Primary health care,Dental services,Non-government,Other sources of fund,"72,27,980","79,03,051",4,5
2017-18,SA,Primary health care,Dental services,State and local government,State and local government,"6,85,79,178","7,49,84,261",40,43
2017-18,SA,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"1,46,73,329","1,67,62,816",8,10
2017-18,SA,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"12,58,84,083","14,38,10,021",73,83
2017-18,SA,Primary health care,Other health practitioners,Australian Government,Premium rebates,"3,03,78,594","3,47,04,517",18,20
2017-18,SA,Primary health care,Other health practitioners,Non-government,Health Insurance Funds,"8,58,58,038","9,80,84,253",49,57
2017-18,SA,Primary health care,Other health practitioners,Non-government,Individuals,"2,13,64,320","2,44,06,607",12,14
2017-18,SA,Primary health care,Other health practitioners,Non-government,Other sources of fund,"3,37,33,145","3,85,36,757",19,22
2017-18,SA,Primary health care,Public health,Australian Government,DoHAC and other,"8,62,17,776","9,86,30,205",50,57
2017-18,SA,Primary health care,Public health,Non-government,Individuals,"15,26,396","17,46,280",1,1
2017-18,SA,Primary health care,Public health,Non-government,Other sources of fund,"19,49,395","22,30,214",1,1
2017-18,SA,Primary health care,Public health,State and local government,State and local government,"10,11,44,460","11,57,14,774",58,67
2017-18,SA,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"77,58,879","87,33,261",4,5
2017-18,SA,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"69,44,00,667","78,15,90,802",400,450
2017-18,SA,Primary health care,Unreferred medical services,Non-government,Individuals,"5,37,85,410","6,05,39,937",31,35
2017-18,SA,Primary health care,Unreferred medical services,Non-government,Other sources of fund,"7,01,84,835","7,89,98,849",40,46
2017-18,SA,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"4,30,85,423","4,84,96,215",25,28
2017-18,SA,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"73,68,58,392","82,93,95,198",425,478
2017-18,SA,Referred medical services,Referred medical services,Australian Government,Premium rebates,"5,20,89,733","5,86,31,312",30,34
2017-18,SA,Referred medical services,Referred medical services,Non-government,Health Insurance Funds,"14,72,19,529","16,57,07,783",85,95
2017-18,SA,Referred medical services,Referred medical services,Non-government,Individuals,"15,47,82,290","17,42,20,297",89,100
2017-18,SA,Research,Research,Australian Government,Department of Veterans' Affairs,0,0,0,0
2017-18,SA,Research,Research,Australian Government,DoHAC and other,"30,46,42,704","34,78,68,648",176,200
2017-18,SA,Research,Research,Non-government,Individuals,"4,91,748","5,61,523",0,0
2017-18,SA,Research,Research,Non-government,Other sources of fund,"2,41,60,738","2,75,88,920",14,16
2017-18,SA,Research,Research,State and local government,State and local government,"3,72,15,262","4,24,95,759",21,24
2017-18,Tas,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"72,86,974","83,34,201",14,16
2017-18,Tas,Capital expenditure,Capital expenditure,Non-government,Other sources of fund,"8,53,70,655","11,15,47,270",161,210
2017-18,Tas,Capital expenditure,Capital expenditure,State and local government,State and local government,"17,40,00,000","22,00,03,285",327,414
2017-18,Tas,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"1,30,10,257","1,48,34,679",24,28
2017-18,Tas,Hospitals,Private hospitals,Australian Government,DoHAC and other,"6,01,48,956","6,85,83,647",113,129
2017-18,Tas,Hospitals,Private hospitals,Australian Government,Premium rebates,"6,27,94,599","7,16,00,250",118,135
2017-18,Tas,Hospitals,Private hospitals,Non-government,Health Insurance Funds,"17,75,18,818","20,24,12,184",334,381
2017-18,Tas,Hospitals,Private hospitals,Non-government,Individuals,"8,50,64,214","9,69,92,722",160,182
2017-18,Tas,Hospitals,Private hospitals,Non-government,Other sources of fund,"2,81,23,828","3,20,67,617",53,60
2017-18,Tas,Hospitals,Private hospitals,State and local government,State and local government,"5,86,00,000","6,68,17,446",110,126
2017-18,Tas,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"1,39,08,629","1,58,59,028",26,30
2017-18,Tas,Hospitals,Public hospital services,Australian Government,DoHAC and other,"56,84,35,149","64,81,47,399","1,069","1,219"
2017-18,Tas,Hospitals,Public hospital services,Australian Government,Premium rebates,"58,64,754","66,87,166",11,13
2017-18,Tas,Hospitals,Public hospital services,Non-government,Health Insurance Funds,"1,65,79,519","1,89,04,456",31,36
2017-18,Tas,Hospitals,Public hospital services,Non-government,Individuals,"47,67,172","54,35,670",9,10
2017-18,Tas,Hospitals,Public hospital services,Non-government,Other sources of fund,"2,52,58,460","2,88,00,440",48,54
2017-18,Tas,Hospitals,Public hospital services,State and local government,State and local government,"77,99,28,088","88,92,96,973","1,467","1,673"
2017-18,Tas,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"1,46,400","1,64,694",0,0
2017-18,Tas,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-1,46,400","-1,64,694",0,0
2017-18,Tas,Other services,Administration,Australian Government,Department of Veterans' Affairs,0,0,0,0
2017-18,Tas,Other services,Administration,Australian Government,DoHAC and other,"3,95,47,844","4,45,07,671",74,84
2017-18,Tas,Other services,Administration,Australian Government,Premium rebates,"1,24,23,028","1,39,75,420",23,26
2017-18,Tas,Other services,Administration,Non-government,Health Insurance Funds,"3,51,10,803","3,94,98,277",66,74
2017-18,Tas,Other services,Administration,Non-government,Individuals,"6,25,131","7,03,248",1,1
2017-18,Tas,Other services,Administration,Non-government,Other sources of fund,"5,51,473","6,20,385",1,1
2017-18,Tas,Other services,Administration,State and local government,State and local government,"4,04,29,174","4,54,81,235",76,86
2017-18,Tas,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"8,049","8,812",0,0
2017-18,Tas,Other services,Aids and appliances,Australian Government,DoHAC and other,"1,47,27,947","1,61,25,475",28,30
2017-18,Tas,Other services,Aids and appliances,Australian Government,Premium rebates,"63,58,554","69,61,914",12,13
2017-18,Tas,Other services,Aids and appliances,Non-government,Health Insurance Funds,"1,79,70,974","1,96,76,232",34,37
2017-18,Tas,Other services,Aids and appliances,Non-government,Individuals,"5,67,98,129","6,21,87,677",107,117
2017-18,Tas,Other services,Aids and appliances,Non-government,Other sources of fund,"32,91,057","36,03,344",6,7
2017-18,Tas,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"35,28,274","40,23,041",7,8
2017-18,Tas,Other services,Patient transport services,Australian Government,DoHAC and other,"12,89,336","14,70,139",2,3
2017-18,Tas,Other services,Patient transport services,Australian Government,Premium rebates,"41,523","47,345",0,0
2017-18,Tas,Other services,Patient transport services,Non-government,Health Insurance Funds,"1,17,354","1,33,811",0,0
2017-18,Tas,Other services,Patient transport services,Non-government,Individuals,"43,33,531","49,41,220",8,9
2017-18,Tas,Other services,Patient transport services,Non-government,Other sources of fund,"53,39,697","60,88,480",10,11
2017-18,Tas,Other services,Patient transport services,State and local government,State and local government,"9,06,53,161","10,33,65,404",171,194
2017-18,Tas,Primary health care,All other medications,Australian Government,DoHAC and other,"1,74,13,903","1,88,39,724",33,35
2017-18,Tas,Primary health care,All other medications,Australian Government,Premium rebates,"5,57,642","5,94,516",1,1
2017-18,Tas,Primary health care,All other medications,Non-government,Health Insurance Funds,"15,76,046","16,80,261",3,3
2017-18,Tas,Primary health care,All other medications,Non-government,Individuals,"30,99,99,438","33,52,74,847",583,631
2017-18,Tas,Primary health care,All other medications,Non-government,Other sources of fund,"71,95,298","76,71,085",14,14
2017-18,Tas,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"93,05,638","1,13,09,154",18,21
2017-18,Tas,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"26,48,70,533","32,16,22,029",498,605
2017-18,Tas,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"3,82,66,908","4,65,05,826",72,87
2017-18,Tas,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"35,274","39,682",0,0
2017-18,Tas,Primary health care,Community health and other,Australian Government,DoHAC and other,"2,14,37,358","2,41,86,401",40,46
2017-18,Tas,Primary health care,Community health and other,Australian Government,Premium rebates,"6,873","7,732",0,0
2017-18,Tas,Primary health care,Community health and other,Non-government,Health Insurance Funds,"19,426","21,853",0,0
2017-18,Tas,Primary health care,Community health and other,Non-government,Individuals,"5,37,770","6,04,970",1,1
2017-18,Tas,Primary health care,Community health and other,Non-government,Other sources of fund,"13,61,830","15,32,005",3,3
2017-18,Tas,Primary health care,Community health and other,State and local government,State and local government,"14,76,11,656","16,60,57,324",278,312
2017-18,Tas,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"17,67,703","19,32,801",3,4
2017-18,Tas,Primary health care,Dental services,Australian Government,DoHAC and other,"65,85,791","72,00,883",12,14
2017-18,Tas,Primary health care,Dental services,Australian Government,Premium rebates,"1,39,57,732","1,52,61,340",26,29
2017-18,Tas,Primary health care,Dental services,Non-government,Health Insurance Funds,"3,94,48,285","4,31,32,633",74,81
2017-18,Tas,Primary health care,Dental services,Non-government,Individuals,"9,64,42,237","10,54,49,643",181,198
2017-18,Tas,Primary health care,Dental services,Non-government,Other sources of fund,"19,31,464","21,11,857",4,4
2017-18,Tas,Primary health care,Dental services,State and local government,State and local government,"2,17,69,167","2,38,02,339",41,45
2017-18,Tas,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"45,65,296","52,15,396",9,10
2017-18,Tas,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"3,72,29,590","4,25,31,097",70,80
2017-18,Tas,Primary health care,Other health practitioners,Australian Government,Premium rebates,"51,75,728","59,12,753",10,11
2017-18,Tas,Primary health care,Other health practitioners,Non-government,Health Insurance Funds,"1,46,27,992","1,67,11,023",28,31
2017-18,Tas,Primary health care,Other health practitioners,Non-government,Individuals,"4,38,63,711","5,01,09,919",83,94
2017-18,Tas,Primary health care,Other health practitioners,Non-government,Other sources of fund,"29,95,603","34,22,178",6,6
2017-18,Tas,Primary health care,Other health practitioners,State and local government,State and local government,"32,40,585","37,02,045",6,7
2017-18,Tas,Primary health care,Public health,Australian Government,DoHAC and other,"2,57,71,730","2,93,74,399",48,55
2017-18,Tas,Primary health care,Public health,Non-government,Other sources of fund,"10,49,033","11,96,139",2,2
2017-18,Tas,Primary health care,Public health,State and local government,State and local government,"2,01,09,836","2,29,29,827",38,43
2017-18,Tas,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"32,86,629","37,85,972",6,7
