eInjury_01,DiagnosisCodeDescr
V96.19,Other hang-glider accident injuring occupant
V96.2,Glider (nonpowered) accident injuring occupant
V96.22,Forced landing of glider (nonpowered) injuring occupant
V96.29,Other glider (nonpowered) accident injuring occupant
V96.8,Other nonpowered-aircraft accidents injuring occupant
V96.9,Unspecified nonpowered-aircraft accident injuring occupant
V97,Other specified air transport accidents
V97.0,Occupant of aircraft injured in other specified air transport accidents
V97.1,Person injured while boarding or alighting from aircraft
V97.2,Parachutist accident
V97.21,Parachutist entangled in object
V97.22,Parachutist injured on landing
V97.29,Other parachutist accident
V97.3,Person on ground injured in air transport accident
V97.31,Hit by object falling from aircraft
V97.32,Injured by rotating propeller
V97.8,"Other air transport accidents, not elsewhere classified"
V97.81,Air transport accident involving military aircraft
V97.89,"Other air transport accidents, not elsewhere classified"
V98.0,"Accident to, on or involving cable-car, not on rails"
V98.1,"Accident to, on or involving land-yacht"
V98.2,"Accident to, on or involving ice yacht"
V98.3,"Accident to, on or involving ski lift"
V98.8,Other specified transport accidents
V99,Unspecified transport accident
W00,Fall due to ice and snow
W00.0,Fall on same level due to ice and snow
W00.0XXA,"Fall on same level due to ice and snow, initial encounter"
W00.1,Fall from stairs and steps due to ice and snow
W00.2,Other fall from one level to another due to ice and snow
W00.9,Unspecified fall due to ice and snow
W00.9XXA,"Unspecified fall due to ice and snow, initial encounter"
W01,"Fall on same level from slipping, tripping and stumbling"
W01.0,"Fall on same level from slipping, tripping and stumbling without subsequent striking against object"
W01.0XXA,"Fall on same level from slipping, tripping and stumbling without subsequent striking against object, initial encounter"
W01.1,"Fall on same level from slipping, tripping and stumbling with subsequent striking against object"
W01.10,"Fall on same level from slipping, tripping and stumbling with subsequent striking against unspecified object"
W01.10XA,"Fall on same level from slipping, tripping and stumbling with subsequent striking against unspecified object, initial encounter"
W01.11,"Fall on same level from slipping, tripping and stumbling with subsequent striking against sharp object"
W01.110,"Fall on same level from slipping, tripping and stumbling with subsequent striking against sharp glass"
W01.111,"Fall on same level from slipping, tripping and stumbling with subsequent striking against power tool or machine"
W01.118,"Fall on same level from slipping, tripping and stumbling with subsequent striking against other sharp object"
W01.119,"Fall on same level from slipping, tripping and stumbling with subsequent striking against unspecified sharp object"
W01.19,"Fall on same level from slipping, tripping and stumbling with subsequent striking against other object"
W01.190,"Fall on same level from slipping, tripping and stumbling with subsequent striking against furniture"
W01.198,"Fall on same level from slipping, tripping and stumbling with subsequent striking against other object"
W03,Other fall on same level due to collision with another person
W04,Fall while being carried or supported by other persons
W05,"Fall from non-moving wheelchair, nonmotorized scooter and motorized mobility scooter"
W05.0,Fall from non-moving wheelchair
W05.0XXA,"Fall from non-moving wheelchair, initial encounter"
W05.1,Fall from non-moving nonmotorized scooter
W05.2,Fall from non-moving motorized mobility scooter
W06,Fall from bed
W06.XXXA,"Fall from bed, initial encounter"
W07,Fall from chair
W07.XXXA,"Fall from chair, initial encounter"
W08,Fall from other furniture
W09,Fall on and from playground equipment
W09.0,Fall on or from playground slide
W09.1,Fall from playground swing
W09.2,Fall on or from jungle gym
W09.2XXA,"Fall on or from jungle gym, initial encounter"
W09.8,Fall on or from other playground equipment
W09.8XXA,"Fall on or from other playground equipment, initial encounter"
W10,Fall on and from stairs and steps
W10.0,Fall (on)(from) escalator
W10.0XXA,"Fall (on)(from) escalator, initial encounter"
W10.1,Fall (on)(from) sidewalk curb
W10.2,Fall (on)(from) incline
W10.2XXA,"Fall (on)(from) incline, initial encounter"
W10.8,Fall (on) (from) other stairs and steps
W10.8XXA,"Fall (on) (from) other stairs and steps, initial encounter"
W10.9,Fall (on) (from) unspecified stairs and steps
W10.9XXA,"Fall (on) (from) unspecified stairs and steps, initial encounter"
W11,Fall on and from ladder
W11.XXXA,"Fall on and from ladder, initial encounter"
W12,Fall on and from scaffolding
W13,"Fall from, out of or through building or structure"
W13.0,"Fall from, out of or through balcony"
W13.1,"Fall from, out of or through bridge"
W13.2,"Fall from, out of or through roof"
W13.2XXA,"Fall from, out of or through roof, initial encounter"
W13.3,Fall through floor
W13.4,"Fall from, out of or through window"
W13.8,"Fall from, out of or through other building or structure"
W13.9,"Fall from, out of or through building, not otherwise specified"
W14,Fall from tree
W14.XXXA,"Fall from tree, initial encounter"
W15,Fall from cliff
W16,"Fall, jump or diving into water"
W16.0,Fall into swimming pool
W16.01,Fall into swimming pool striking water surface
W16.011,Fall into swimming pool striking water surface causing drowning and submersion
W16.012,Fall into swimming pool striking water surface causing other injury
W16.02,Fall into swimming pool striking bottom
W16.021,Fall into swimming pool striking bottom causing drowning and submersion
W16.022,Fall into swimming pool striking bottom causing other injury
W16.03,Fall into swimming pool striking wall
W16.031,Fall into swimming pool striking wall causing drowning and submersion
W16.032,Fall into swimming pool striking wall causing other injury
W16.1,Fall into natural body of water
W16.11,Fall into natural body of water striking water surface
W16.112,Fall into natural body of water striking water surface causing other injury
W16.12,Fall into natural body of water striking bottom
W16.121,Fall into natural body of water striking bottom causing drowning and submersion
W16.122,Fall into natural body of water striking bottom causing other injury
W16.13,Fall into natural body of water striking side
W16.131,Fall into natural body of water striking side causing drowning and submersion
W16.132,Fall into natural body of water striking side causing other injury
W16.2,Fall in (into) filled bathtub or bucket of water
W16.21,Fall in (into) filled bathtub
W16.211,Fall in (into) filled bathtub causing drowning and submersion
W16.212,Fall in (into) filled bathtub causing other injury
W16.22,Fall in (into) bucket of water
W16.222,Fall in (into) bucket of water causing other injury
W16.3,Fall into other water
W16.31,Fall into other water striking water surface
W16.312,Fall into other water striking water surface causing other injury
W16.32,Fall into other water striking bottom
W16.322,Fall into other water striking bottom causing other injury
W16.33,Fall into other water striking wall
W16.332,Fall into other water striking wall causing other injury
W16.4,Fall into unspecified water
W16.41,Fall into unspecified water causing drowning and submersion
W16.42,Fall into unspecified water causing other injury
W16.5,Jumping or diving into swimming pool
W16.51,Jumping or diving into swimming pool striking water surface
W16.512,Jumping or diving into swimming pool striking water surface causing other injury
W16.52,Jumping or diving into swimming pool striking bottom
W16.53,Jumping or diving into swimming pool striking wall
