eSituation_12,DiagnosisCodeDescr
S05.11XA,"Contusion of eyeball and orbital tissues, right eye, initial encounter"
S05.12,"Contusion of eyeball and orbital tissues, left eye"
S05.12XA,"Contusion of eyeball and orbital tissues, left eye, initial encounter"
S05.20XA,"Ocular laceration and rupture with prolapse or loss of intraocular tissue, unspecified eye, initial encounter"
S05.30XA,"Ocular laceration without prolapse or loss of intraocular tissue, unspecified eye, initial encounter"
S05.4,Penetrating wound of orbit with or without foreign body
S05.40,"Penetrating wound of orbit with or without foreign body, unspecified eye"
S05.60,Penetrating wound without foreign body of unspecified eyeball
S05.71,Avulsion of right eye
S05.72XD,"Avulsion of left eye, subsequent encounter"
S05.8,Other injuries of eye and orbit
S05.8X,Other injuries of eye and orbit
S05.8X1,Other injuries of right eye and orbit
S05.8X1A,"Other injuries of right eye and orbit, initial encounter"
S05.8X9A,"Other injuries of unspecified eye and orbit, initial encounter"
S05.8X9D,"Other injuries of unspecified eye and orbit, subsequent encounter"
S05.9,Unspecified injury of eye and orbit
S05.90,Unspecified injury of unspecified eye and orbit
S05.90XA,"Unspecified injury of unspecified eye and orbit, initial encounter"
S05.90XD,"Unspecified injury of unspecified eye and orbit, subsequent encounter"
S05.90XS,"Unspecified injury of unspecified eye and orbit, sequela"
S05.91,Unspecified injury of right eye and orbit
S05.91XA,"Unspecified injury of right eye and orbit, initial encounter"
S05.91XS,"Unspecified injury of right eye and orbit, sequela"
S05.92,Unspecified injury of left eye and orbit
S05.92XA,"Unspecified injury of left eye and orbit, initial encounter"
S06,Intracranial injury
S06.0,Concussion
S06.0X,Concussion
S06.0X0,Concussion without loss of consciousness
S06.0X0A,"Concussion without loss of consciousness, initial encounter"
S06.0X0S,"Concussion without loss of consciousness, sequela"
S06.0X1,Concussion with loss of consciousness of 30 minutes or less
S06.0X1A,"Concussion with loss of consciousness of 30 minutes or less, initial encounter"
S06.0X9,Concussion with loss of consciousness of unspecified duration
S06.0X9A,"Concussion with loss of consciousness of unspecified duration, initial encounter"
S06.0X9D,"Concussion with loss of consciousness of unspecified duration, subsequent encounter"
S06.0X9S,"Concussion with loss of consciousness of unspecified duration, sequela"
S06.0XAA,"Concussion with loss of consciousness status unknown, initial encounter"
S06.1,Traumatic cerebral edema
S06.1X0,Traumatic cerebral edema without loss of consciousness
S06.1X0A,"Traumatic cerebral edema without loss of consciousness, initial encounter"
S06.1X6A,"Traumatic cerebral edema with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter"
S06.1X7A,"Traumatic cerebral edema with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter"
S06.1X9,Traumatic cerebral edema with loss of consciousness of unspecified duration
S06.1X9S,"Traumatic cerebral edema with loss of consciousness of unspecified duration, sequela"
S06.2,Diffuse traumatic brain injury
S06.2X,Diffuse traumatic brain injury
S06.2X0A,"Diffuse traumatic brain injury without loss of consciousness, initial encounter"
S06.2X0D,"Diffuse traumatic brain injury without loss of consciousness, subsequent encounter"
S06.2X9,Diffuse traumatic brain injury with loss of consciousness of unspecified duration
S06.2X9A,"Diffuse traumatic brain injury with loss of consciousness of unspecified duration, initial encounter"
S06.2X9S,"Diffuse traumatic brain injury with loss of consciousness of unspecified duration, sequela"
S06.3,Focal traumatic brain injury
S06.30,Unspecified focal traumatic brain injury
S06.300,Unspecified focal traumatic brain injury without loss of consciousness
S06.301,Unspecified focal traumatic brain injury with loss of consciousness of 30 minutes or less
S06.309,Unspecified focal traumatic brain injury with loss of consciousness of unspecified duration
S06.309A,"Unspecified focal traumatic brain injury with loss of consciousness of unspecified duration, initial encounter"
S06.32,Contusion and laceration of left cerebrum
S06.320,Contusion and laceration of left cerebrum without loss of consciousness
S06.33,"Contusion and laceration of cerebrum, unspecified"
S06.330,"Contusion and laceration of cerebrum, unspecified, without loss of consciousness"
S06.330A,"Contusion and laceration of cerebrum, unspecified, without loss of consciousness, initial encounter"
S06.33AS,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness status unknown, sequela"
S06.36,"Traumatic hemorrhage of cerebrum, unspecified"
S06.360,"Traumatic hemorrhage of cerebrum, unspecified, without loss of consciousness"
S06.360A,"Traumatic hemorrhage of cerebrum, unspecified, without loss of consciousness, initial encounter"
S06.361,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 30 minutes or less"
S06.369,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of unspecified duration"
S06.369A,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of unspecified duration, initial encounter"
S06.370,"Contusion, laceration, and hemorrhage of cerebellum without loss of consciousness"
S06.4,Epidural hemorrhage
S06.4X,Epidural hemorrhage
S06.4X0,Epidural hemorrhage without loss of consciousness
S06.4X0A,"Epidural hemorrhage without loss of consciousness, initial encounter"
S06.4X0D,"Epidural hemorrhage without loss of consciousness, subsequent encounter"
S06.4X0S,"Epidural hemorrhage without loss of consciousness, sequela"
S06.4X9,Epidural hemorrhage with loss of consciousness of unspecified duration
S06.4X9A,"Epidural hemorrhage with loss of consciousness of unspecified duration, initial encounter"
S06.4X9S,"Epidural hemorrhage with loss of consciousness of unspecified duration, sequela"
S06.4XAA,"Epidural hemorrhage with loss of consciousness status unknown, initial encounter"
S06.5,Traumatic subdural hemorrhage
S06.5X,Traumatic subdural hemorrhage
S06.5X0,Traumatic subdural hemorrhage without loss of consciousness
S06.5X0A,"Traumatic subdural hemorrhage without loss of consciousness, initial encounter"
S06.5X0D,"Traumatic subdural hemorrhage without loss of consciousness, subsequent encounter"
S06.5X9,Traumatic subdural hemorrhage with loss of consciousness of unspecified duration
S06.5X9A,"Traumatic subdural hemorrhage with loss of consciousness of unspecified duration, initial encounter"
S06.5X9S,"Traumatic subdural hemorrhage with loss of consciousness of unspecified duration, sequela"
S06.5XAA,"Traumatic subdural hemorrhage with loss of consciousness status unknown, initial encounter"
S06.6,Traumatic subarachnoid hemorrhage
S06.6X,Traumatic subarachnoid hemorrhage
S06.6X0,Traumatic subarachnoid hemorrhage without loss of consciousness
S06.6X0A,"Traumatic subarachnoid hemorrhage without loss of consciousness, initial encounter"
S06.6X0D,"Traumatic subarachnoid hemorrhage without loss of consciousness, subsequent encounter"
S06.6X5A,"Traumatic subarachnoid hemorrhage with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter"
S06.6X9,Traumatic subarachnoid hemorrhage with loss of consciousness of unspecified duration
S06.6X9A,"Traumatic subarachnoid hemorrhage with loss of consciousness of unspecified duration, initial encounter"
S06.829S,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of unspecified duration, sequela"
S06.890,Other specified intracranial injury without loss of consciousness
S06.890A,"Other specified intracranial injury without loss of consciousness, initial encounter"
S06.890D,"Other specified intracranial injury without loss of consciousness, subsequent encounter"
S06.891,Other specified intracranial injury with loss of consciousness of 30 minutes or less
S06.891A,"Other specified intracranial injury with loss of consciousness of 30 minutes or less, initial encounter"
S06.899A,"Other specified intracranial injury with loss of consciousness of unspecified duration, initial encounter"
S06.89AA,"Other specified intracranial injury with loss of consciousness status unknown, initial encounter"
S06.9,Unspecified intracranial injury
S06.9X,Unspecified intracranial injury
S06.9X0,Unspecified intracranial injury without loss of consciousness
S06.9X0A,"Unspecified intracranial injury without loss of consciousness, initial encounter"
S06.9X1A,"Unspecified intracranial injury with loss of consciousness of 30 minutes or less, initial encounter"
S06.9X3,Unspecified intracranial injury with loss of consciousness of 1 hour to 5 hours 59 minutes
S06.9X5A,"Unspecified intracranial injury with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter"
S06.9X5D,"Unspecified intracranial injury with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter"
S06.9X9,Unspecified intracranial injury with loss of consciousness of unspecified duration
S06.9X9A,"Unspecified intracranial injury with loss of consciousness of unspecified duration, initial encounter"
S06.9X9D,"Unspecified intracranial injury with loss of consciousness of unspecified duration, subsequent encounter"
S06.9X9S,"Unspecified intracranial injury with loss of consciousness of unspecified duration, sequela"
S07.0,Crushing injury of face
S07.0XXA,"Crushing injury of face, initial encounter"
S07.1,Crushing injury of skull
S07.1XXA,"Crushing injury of skull, initial encounter"
S07.8XXA,"Crushing injury of other parts of head, initial encounter"
S07.9,"Crushing injury of head, part unspecified"
S07.9XXA,"Crushing injury of head, part unspecified, initial encounter"
S07.9XXD,"Crushing injury of head, part unspecified, subsequent encounter"
S08,Avulsion and traumatic amputation of part of head
S08.0,Avulsion of scalp
S08.0XXA,"Avulsion of scalp, initial encounter"
S08.12,Partial traumatic amputation of ear
S08.122,Partial traumatic amputation of left ear
S08.89,Traumatic amputation of other parts of head
S09,Other and unspecified injuries of head
S09.0,"Injury of blood vessels of head, not elsewhere classified"
S09.0XXA,"Injury of blood vessels of head, not elsewhere classified, initial encounter"
S09.12XA,"Laceration of muscle and tendon of head, initial encounter"
S09.8,Other specified injuries of head
S09.8XXA,"Other specified injuries of head, initial encounter"
S09.9,Unspecified injury of face and head
S09.90,Unspecified injury of head
S09.90XA,"Unspecified injury of head, initial encounter"
S09.90XD,"Unspecified injury of head, subsequent encounter"
S09.90XS,"Unspecified injury of head, sequela"
S09.91,Unspecified injury of ear
S09.91XA,"Unspecified injury of ear, initial encounter"
S09.92,Unspecified injury of nose
S09.92XA,"Unspecified injury of nose, initial encounter"
S09.92XS,"Unspecified injury of nose, sequela"
S09.93,Unspecified injury of face
S09.93XA,"Unspecified injury of face, initial encounter"
S09.93XS,"Unspecified injury of face, sequela"
S10,Superficial injury of neck
S10.0,Contusion of throat
S10.0XXA,"Contusion of throat, initial encounter"
S10.10,Unspecified superficial injuries of throat
S10.11,Abrasion of throat
S10.11XA,"Abrasion of throat, initial encounter"
S10.11XS,"Abrasion of throat, sequela"
S10.12XA,"Blister (nonthermal) of throat, initial encounter"
S10.15,Superficial foreign body of throat
S10.15XA,"Superficial foreign body of throat, initial encounter"
S10.80XA,"Unspecified superficial injury of other specified part of neck, initial encounter"
S10.80XS,"Unspecified superficial injury of other specified part of neck, sequela"
S10.81,Abrasion of other specified part of neck
S10.81XA,"Abrasion of other specified part of neck, initial encounter"
S10.83,Contusion of other specified part of neck
S10.83XA,"Contusion of other specified part of neck, initial encounter"
S10.90,Unspecified superficial injury of unspecified part of neck
S10.90XA,"Unspecified superficial injury of unspecified part of neck, initial encounter"
S10.91,Abrasion of unspecified part of neck
S10.91XA,"Abrasion of unspecified part of neck, initial encounter"
S10.93XA,"Contusion of unspecified part of neck, initial encounter"
S11,Open wound of neck
S11.01,Open wound of larynx
S11.021A,"Laceration without foreign body of trachea, initial encounter"
S11.021D,"Laceration without foreign body of trachea, subsequent encounter"
S11.029A,"Unspecified open wound of trachea, initial encounter"
S11.80XA,"Unspecified open wound of other specified part of neck, initial encounter"
S11.81XS,"Laceration without foreign body of other specified part of neck, sequela"
S11.82XA,"Laceration with foreign body of other specified part of neck, initial encounter"
S11.84,Puncture wound with foreign body of other specified part of neck
S11.90XA,"Unspecified open wound of unspecified part of neck, initial encounter"
S11.91XA,"Laceration without foreign body of unspecified part of neck, initial encounter"
S11.92,Laceration with foreign body of unspecified part of neck
S11.94,Puncture wound with foreign body of unspecified part of neck
S12,Fracture of cervical vertebra and other parts of neck
S12.000A,"Unspecified displaced fracture of first cervical vertebra, initial encounter for closed fracture"
S12.10,Unspecified fracture of second cervical vertebra
S12.100,Unspecified displaced fracture of second cervical vertebra
S12.100A,"Unspecified displaced fracture of second cervical vertebra, initial encounter for closed fracture"
